Igehely	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás	Kritikai kiadás
Mt 1:11	G0846	αὐτοῦ	autou	αὐτός	he/she/it/self	of him	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G1909	ἐπὶ	epi	ἐπί	upon/to/against	at [the time]	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G3588	τῆς	tēs	ὁ	the/this/who	of the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G3350	μετοικεσίας	metoikesias	μετοικεσία	deportation	carrying away	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G0897	Βαβυλῶνος.¶	Babulōnos	Βαβυλών	Babylon	to Babylon.	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G3326	Μετὰ	Meta	μετά	with/after	After	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G3588	τὴν	tēn	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G3350	μετοικεσίαν	metoikesian	μετοικεσία	deportation	carrying away	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G0897	Βαβυλῶνος	Babulōnos	Βαβυλών	Babylon	to Babylon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G2423	Ἰεχονίας	Iechonias	Ἰεχονίας	Jeconiah	Jeconiah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G4528	Σαλαθιήλ·	Salathiēl	Σαλαθιήλ	Salathiel	Shealtiel;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G4528	Σαλαθιὴλ	Salathiēl	Σαλαθιήλ	Salathiel	Shealtiel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:12	G2216	Ζοροβαβέλ·	Zorobabel	Ζοροβάβελ	Zerubbabel	Zerubbabel;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:13	G2216	Ζοροβαβὲλ	Zorobabel	Ζοροβάβελ	Zerubbabel	Zerubbabel	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:13	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:13	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
