Strong-szám	Szótő	Kiejtés	Rövid jelentés
H0456	אֱלִיחֹ֫רֶף	'e.li.Cho.ref	Elihoreph
H0457	אֱלִיל	'e.li.Lim	idol
H0458	אֱלִימֶ֫לֶךְ	'eli.Me.lekh	Elimelech
H0459	אִלֵּין	'i.Lein	these
H0460	אֶלְיָסָף	'el.ya.Saf	Eliasaph
H0461	אֱלִיעֶ֫זֶר	'e.li.'E.zer	Eliezer
H0462	אֱלִיעֵינַי	'e.li.'e.Nai	Elienai
H0463	אֱלִיעָם	'e.li.'Am	Eliam
H0464	אֱלִיפַז	'e.li.Faz	Eliphaz
H0465	אֱלִיפָל	'e.li.Fal	Eliphal
H0466	אֱלִיפְלֵ֫הוּ	'e.Li.fe.Le.hu	Eliphelehu
H0467	אֲלִיפֶ֫לֶט	'e.li.Fa.let	Eliphelet
H0468	אֱלִיצוּר	'e.li.Tzur	Elizur
H0469	אֱלִיצָפָן	'el.tza.Fan	Elizaphan
H0470	אֱלִיקָא	'e.li.Ka'	Elika
H0471	אֶלְיָקִים	'el.ya.Kim	Eliakim
H0472	אֱלִישֶׁ֫בַע	'e.li.She.va'	Elisheba
H0473	אֱלִישָׁה	'e.li.Shah	Elishah
H0474	אֱלִישׁוּעַ	'e.li.Shu.a'	Elishua
H0475	אֶלְיָשִׁיב	'el.ya.Shiv	Eliashib
H0476	אֱלִישָׁמָע	'e.li.sha.Ma'	Elishama
H0477	אֱלִישָׁע	'e.li.Sha'	Elisha
H0478	אֱלִישָׁפָט	'e.li.sha.Fat	Elishaphat
H0479	אִלֵּךְ	'i.Lekh	these
H0480	אַלְלַי	'a.Lai	woe!
H0481	אָלַם	me.'a.le.Mim	be dumb
H0483	אִלֵּם	'i.Lem	mute
H0484	אַלְמֻגִּים	'al.mu.Gim	almug
H0485	אֲלֻמָה	'a.lu.Mim	sheaf
H0486	אַלְמוֹדָד	'al.mo.Dad	Almodad
H0487	אַלַּמֶּלֶךְ	'a.la.Me.lekh	Allammelech
H0488	אַלְמָן	'al.Man	forsaken
H0489	אַלְמֹן	'al.Mon	widowhood
H0490	אַלְמָנָה	'al.ma.Nah	widow
H0491	אַלְמָנוּת	'al.me.nu.Ta	widowhood
H0492	אַלְמֹנִי	'al.mo.Ni	someone
H0493	אֶלְנָ֑עַם	'el.Na.'am	Elnaam
H0494	אֶלְנָתָן	'el.na.Tan	Elnathan
H0495	אֶלָּסָר	'e.la.Sar	Ellasar
H0496	אֶלְעָד	'el.'Ad	Elead
H0497	אֶלְעָדָה	'el.'a.Dah	Eleadah|Eleadah
H0499	אֶלְעָזָר	'el.'a.Zar	Eleazar
H0500	אֶלְעָלֵא	'el.'a.Leh	Elealeh
H0501	אֶלְעָשָׂה	'el.'a.Sah	Eleasah
H0502	אָלַף	ye.'a.Lef	to teach|learn
H0503	אָלַף	Ma.'a.li.fot	to produce thousands
H0504	אֶ֫לֶף	'a.la.Fei.	cattle
H0505	אֶ֫לֶף	'E.lef	thousand
H0506	אֲלַ֑ף	'a.Laf	thousand
H0507	הָאֶ֫לֶף	ha.'E.lef	Haeleph
H0508	אֶלְפַּ֫עַל	'el.Pa.'al	Elpaal
H0509	אָלַץ	te.'a.la.Tze.	to urge
H0510	אַלְקוּם	'al.Kum	army
H0511	אֶלְקָנָה	'el.ka.Nah	Elkanah
H0512	אֶלְקֹשִׁי	'el.ko.Shi	Elkosh
H0513	אֶלְתּוֹלַד	'el.to.Lad	Eltolad
H0514	אֶלְתְּקֵא	'el.te.Keh	Eltekeh
H0515	אֶלְתְּקֹן	'el.te.Kon	Eltekon
H0517	אֵם	'i.M	mother
H0518	אִם	'im-	if
H0519	אָמָה	'am.ho.Ta	maidservant
H0520	אַמָּה	'a.Mah	cubit
H0521	אַמָּה	'a.Min	cubit
H0522	אַמָּה	'a.Mah	Ammah
H0523	אֻמָּה	'u.mo.Ta	people
H0524	אֻמָּה	'u.mai.Ya	people
H0525	אָמוֹן	'a.Mon	artisan
H0526	אָמוֹן	'a.Mon	Amon
H0528	אָמוֹן	'a.Mon	Amon
H0529	אֵמֻן	'e.Mun	faithful
H0530	אֱמוּנָה	'e.mu.Nah	faithfulness
H0531	אָמוֹץ	'a.Motz	Amoz
H0532	אָמִי	'a.Mi	Ami
H0533	אַמִּיץ	'a.Mitz	strong
H0534	אָמִיר	'a.Mir	bough
H0535	אָמַל	'um.La.lah	to weaken
H0538	אֲמָם	'a.Mam	Amam
H0539	אָמַן	he.'e.Min	be faithful
H0540	אֲמַן	me.hei.Man	to trust
H0541	אָמַן	ta.'a.Mi.nu	to turn right
H0543	אָמֵן	'a.Men	amen
