Strong_padded	Strong_eredeti	Teljes_szocikk
H0064	H64	אָבֵל כְּרָמִים (ʼÂbêl Kᵉrâmîym｜aw-bale' ker-aw-meem'｜proper noun｜location｜plain of the vineyards) [pn] אָבֵל כְּרָמִים ETCBC: אָבֵל כְּרָמִים (nmpr｜Abel Keramim) OSHL: a.aj.ab GK: H70 Derivation: from אָבֵל and the plural of כֶּרֶם; meadow of vineyards; Strong's: Abel-Keramim, a place in Palestine KJV: plain of the vineyards.
H0065	H65	אָבֵל מְחֹולָה (ʼÂbêl Mᵉchôwlâh｜aw-bale' mekh-o-law'｜proper noun｜location｜Abel-meholah) [pn] אָבֵל מְחֹולָה, מְחֹולָה ETCBC: אָבֵל מְחֹולָה (nmpr｜Abel Meholah) OSHL: a.aj.ab GK: H71, H1027 Derivation: from אָבֵל and מְחֹלָה Typo: xlit mᵉchôwlâh corrected to mᵉchôlâh ; meadow of dancing; Strong's: Abel-Mecholah, a place in Palestine KJV: Abel-meholah.
H0066	H66	אַבֵל מַיִם (ʼAbêl Mayim｜aw-bale' mah'-yim｜proper noun｜location｜Abel-maim) [pn] אַבֵל מַיִם, אָבֵל מַיִם ETCBC: אָבֵל מָיִם (nmpr｜Abel Maim) OSHL: a.aj.ab GK: H72 Derivation: from אָבֵל and מַיִם; meadow of water; Strong's: Abel-Majim, a place in Palestine KJV: Abel-maim.
H0067	H67	אָבֵל מִצְרַיִם (ʼÂbêl Mitsrayim｜aw-bale' mits-rah'-yim｜proper noun｜location｜Abel-mizraim) [pn] אָבֵל מִצְרַיִם ETCBC: אָבֵל מִצְרַיִם (nmpr｜Abel Mizraim) OSHL: a.aj.ab GK: H73 Derivation: from אָבֵל and מִצְרַיִם; meadow of Egypt; Strong's: Abel-Mitsrajim, a place in Palestine KJV: Abel-mizraim.
H0068	H68	אֶבֶן (ʼeben｜eh'-ben｜noun｜feminine｜stone) [Heb] אֶבֶן ETCBC: אֶבֶן (subs｜stone) OSHL: a.am.aa TWOT: 9 GK: H74 Greek: κατισχύω, λίθινος, λίθος, μικρός, χάλαζα Derivation: from the root of בָּנָה through the meaning to build; Strong's: a stone KJV: [phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s).
H0069	H69	אֶבֶן (ʼeben｜eh'-ben｜noun｜feminine｜stone) [Arc] אֶבֶן ETCBC: אֶבֶן (subs｜stone) OSHL: xa.ac.ac TWOT: 2556 GK: H10006 Derivation: (Aramaic) corresponding to אֶבֶן Strong's: {a stone} KJV: stone.
H0070	H70	אֹבֶן (ʼôben｜o' ben｜noun｜masculine｜wheel) [Heb] אֹבֶן, אָבְנַיִם ETCBC: אֹבֶן (subs｜potter's wheel) OSHL: a.am.ab TWOT: 9a GK: H78 Derivation: from the same as אֶבֶן; Strong's: a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between) KJV: wheel, stool.
H0071	H71	אֲבָנָה (ʼĂbânâh｜ab-aw-naw'｜proper noun｜location｜Abana) [pn] אֲבָנָה ETCBC: אֲמָנָה (nmpr｜Amana) OSHL: a.dy.aj GK: H76 Derivation: perhaps feminine of אֶבֶן; stony; Compare אֲמָנָה. Strong's: Abanah, a river near Damascus KJV: Abana.
H0072	H72	אֶבֶן הָעֵזֶר (ʼEben hâ-ʻÊzer｜eh'-ben haw-e'-zer｜proper noun｜location｜Ebenezer) [pn] אֶבֶן הָעֵזֶר, הָעֵזֶר ETCBC: אֶבֶן הָעֵזֶר (nmpr｜Ebenezer) OSHL: a.am.aa GK: H75, H2193 Derivation: from אֶבֶן and עֵזֶר with the article inserted; stone of the help; Strong's: Eben-ha-Ezer, a place in Palestine KJV: Ebenezer.
H0073	H73	אַבְנֵט (ʼabnêṭ｜ab-nate'｜noun｜masculine｜girdle) [Heb] אַבְנֵט ETCBC: אַבְנֵט (subs｜scarf) OSHL: b.cc.ab TWOT: 256a GK: H77 Greek: ζώνη, στέφανος Derivation: of uncertain derivation; Strong's: a belt KJV: girdle.
